JobID,Jobtitle,Companies,Locations,Experience,Skills,Salary,Reviews,Age of post,Job type,Logo,Rating,Job Description
1,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']",8-13 yrs,"['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']","15,00,000 - 20,00,000 pa.",1959,12 days ago,hot job,logo present,3.6,"relevant experience in software delivery, project leadership for large and mid-size cor..."
2,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],5-9 yrs,"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",not disclosed,138,12 days ago,hot job,logo present,4.2,senior/lead data scientist experience - 5+yrsnotice period - max 30days the group: morn...
3,data scientist,datacore analytics private limited,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' mumbai (all areas)']",0-5 yrs,"['keras', 'python', 'pytorch', 'nlp', 'scikit learn', 'opencv', 'tensorflow', 'communication']","4,00,000 - 9,00,000 pa.",0,8 days ago,hot job,no logo,0,flexibility in working independently and do needful research whenever requiredgood know...
4,data scientist / analyst - machine learning/deep learning,echoindia,['delhi / ncr'],3-6 yrs,"['cnn dnn', 'apache superset', 'pytorch', 'pyspark', 'pandas', 'python', 'natural language processing', 'grafana']",not disclosed,7,6 days ago,hot job,logo present,4.1,#NAME?
5,senior data scientist - iit/ nit/ bits,algonox technologies,['hyderabad/secunderabad'],2-5 yrs,"['java', 'software development', 'c++', 'nosql', 'microservices', 'data science', 'patterns', 'kubernetes']",not disclosed,8,3 days ago,hot job,logo present,2.4,"educational qualification : b tech/ ms/ phd in computer science, mathematics, statistic..."
6,"sr. data scientist i, sip",invesco,['hyderabad/secunderabad'],4-9 yrs,"['exploratory data analysis', 'artificial intelligence', 'natural language processing', 'sentiment analysis', 'machine learning', 'deep learning', 'data science', 'decision forests']",not disclosed,100,14 days ago,preferred,logo present,4,job summarywe’re a leading independent investment management firm seeking a globally mi...
7,gamma lead data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']",7-12 yrs,"['data analysis', 'operations research', 'data science', 'data management', 'business analytics', 'consulting', 'management consulting', 'business strategy']",not disclosed,39,14 days ago,premium,logo present,2.9,"practice area profile bcg gamma combines innovative skills in computer science, artific..."
8,data scientist,asm technologies,"['kolkata', ' hyderabad/secunderabad', ' ahmedabad', ' chennai', ' bangalore/bengaluru']",3-8 yrs,"['impala', 'python', 'hive', 'spark', 'tableau', 'hadoop', 'data analysis', 'power bi']","5,00,000 - 10,00,000 pa.",137,7 days ago,hot job,logo present,3,qualification: be/ b tech / me/ m tech mba (analytics / it / scm / operations / general...
9,senior data scientist,emrit inc,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' delhi / ncr']",5-10 yrs,"['blockchain', 'sql', 'python', 'data engineering', 'power bi', 'microsoft power bi', 'natural language processing', 'tableau']","25,00,000 - 40,00,000 pa.",0,9 days ago,premium,no logo,0,creating and applying advanced machine learning algorithms to the given dataset and com...
10,co-founder & principal data scientist/senior scientist,benovymed healthcare,"['gurgaon/gurugram', ' delhi / ncr']",3-8 yrs,"['pytorch', 'data science', 'tensorflow', 'cnn', 'r', 'rnn', 'nlp', 'keras']",not disclosed,0,3 days ago,hot job,logo present,0,"required skillsets : - needs to have statistical, mathematical, predictive modeling as ..."
11,data scientist,siemens limited,['gurgaon/gurugram'],0-11 yrs,"['computer science', 'data analysis', 'coding', 'software configuration management', 'mysql', 'debugging', 'machine learning', 'data mining']",not disclosed,1691,none,none,logo present,4.2,you will beresponsible for design of software solutions supplemented with ai/ml based o...
12,sr. data scientist - automl,transorg analytics,['gurgaon/gurugram'],5-8 yrs,"['artificial intelligence', 'computer science', 'big data', 'machine learning', 'statistics', 'analytics']",not disclosed,5,5 days ago,hot job,logo present,1.8,"qualification: bachelors in statistics, economics, math s, computer science, or related..."
